Name,"Reference" ,"Hf298" ,"S298" ,"Cp300" ,"Cp400" ,"Cp500" ,"Cp600" ,"Cp800" ,"Cp1000" ,"Cp1500" 
ch3/ch2/ch2/ch2/ch2/ch2(.),"" ,"-200.00" ," -0.53" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" 

ch3/ch2/ch2/ch2/ch2(.),"" ,"-200.00" ,"  0.83" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" 

ch3/ch2/ch2/ch2/ch2/ch2/ch2(.),"" ,"-200.00" ,"  0.86" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" 

ch3/ch2/ch2/ch2(.),"" ,"-200.00" ," -0.56" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" ,"  0.00" 


